Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
binnie.beerale,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@403,Ale Bottle,BinnieCore:containerGlass
binnie.beerale,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@403,Ale Capsule,BinnieCore:containerRefractory
binnie.beerale,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@403,Ale Can,BinnieCore:containerCan
binnie.beercorn,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@407,Corn Beer Capsule,BinnieCore:containerCapsule
binnie.beercorn,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@407,Corn Beer Cylinder,BinnieCore:containerCylinder
binnie.beercorn,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@407,Corn Beer Bucket,BinnieCore:containerBucket
binnie.beercorn,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@407,Corn Beer Bottle,BinnieCore:containerGlass
binnie.beercorn,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@407,Corn Beer Capsule,BinnieCore:containerRefractory
binnie.beercorn,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@407,Corn Beer Can,BinnieCore:containerCan
binnie.beerlager,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@404,Lager Capsule,BinnieCore:containerCapsule
binnie.beerlager,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@404,Lager Cylinder,BinnieCore:containerCylinder
binnie.beerlager,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@404,Lager Bucket,BinnieCore:containerBucket
binnie.beerlager,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@404,Lager Bottle,BinnieCore:containerGlass
binnie.beerlager,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@404,Lager Capsule,BinnieCore:containerRefractory
binnie.beerlager,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@404,Lager Can,BinnieCore:containerCan
binnie.beerrye,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@406,Rye Beer Capsule,BinnieCore:containerCapsule
binnie.beerrye,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@406,Rye Beer Cylinder,BinnieCore:containerCylinder
binnie.beerrye,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@406,Rye Beer Bucket,BinnieCore:containerBucket
binnie.beerrye,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@406,Rye Beer Bottle,BinnieCore:containerGlass
binnie.beerrye,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@406,Rye Beer Capsule,BinnieCore:containerRefractory
binnie.beerrye,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@406,Rye Beer Can,BinnieCore:containerCan
binnie.beerstout,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@408,Stout Capsule,BinnieCore:containerCapsule
binnie.beerstout,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@408,Stout Cylinder,BinnieCore:containerCylinder
binnie.beerstout,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@408,Stout Bucket,BinnieCore:containerBucket
binnie.beerstout,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@408,Stout Bottle,BinnieCore:containerGlass
binnie.beerstout,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@408,Stout Capsule,BinnieCore:containerRefractory
binnie.beerstout,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@408,Stout Can,BinnieCore:containerCan
binnie.beerwheat,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@405,Wheat Beer Capsule,BinnieCore:containerCapsule
binnie.beerwheat,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@405,Wheat Beer Cylinder,BinnieCore:containerCylinder
binnie.beerwheat,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@405,Wheat Beer Bucket,BinnieCore:containerBucket
binnie.beerwheat,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@405,Wheat Beer Bottle,BinnieCore:containerGlass
binnie.beerwheat,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@405,Wheat Beer Capsule,BinnieCore:containerRefractory
binnie.beerwheat,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@405,Wheat Beer Can,BinnieCore:containerCan
binnie.brandyapple,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@523,Apple Brandy Capsule,BinnieCore:containerCapsule
binnie.brandyapple,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@523,Apple Brandy Cylinder,BinnieCore:containerCylinder
binnie.brandyapple,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@523,Apple Brandy Bottle,BinnieCore:containerGlass
binnie.brandyapple,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@523,Apple Brandy Bucket,BinnieCore:containerBucket
binnie.brandyapple,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@523,Apple Brandy Capsule,BinnieCore:containerRefractory
binnie.brandyapple,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@523,Apple Brandy Can,BinnieCore:containerCan
binnie.brandyapricot,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@525,Apricot Brandy Capsule,BinnieCore:containerCapsule
binnie.brandyapricot,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@525,Apricot Brandy Cylinder,BinnieCore:containerCylinder
binnie.brandyapricot,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@525,Apricot Brandy Bottle,BinnieCore:containerGlass
binnie.brandyapricot,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@525,Apricot Brandy Bucket,BinnieCore:containerBucket
binnie.brandyapricot,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@525,Apricot Brandy Capsule,BinnieCore:containerRefractory
binnie.brandyapricot,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@525,Apricot Brandy Can,BinnieCore:containerCan
binnie.brandycherry,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@527,Cherry Brandy Capsule,BinnieCore:containerCapsule
binnie.brandycherry,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@527,Cherry Brandy Cylinder,BinnieCore:containerCylinder
binnie.brandycherry,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@527,Cherry Brandy Bottle,BinnieCore:containerGlass
binnie.brandycherry,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@527,Cherry Brandy Bucket,BinnieCore:containerBucket
binnie.brandycherry,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@527,Cherry Brandy Capsule,BinnieCore:containerRefractory
binnie.brandycherry,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@527,Cherry Brandy Can,BinnieCore:containerCan
binnie.brandycitrus,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@529,Citrus Brandy Capsule,BinnieCore:containerCapsule
binnie.brandycitrus,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@529,Citrus Brandy Cylinder,BinnieCore:containerCylinder
binnie.brandycitrus,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@529,Citrus Brandy Bottle,BinnieCore:containerGlass
binnie.brandycitrus,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@529,Citrus Brandy Bucket,BinnieCore:containerBucket
binnie.brandycitrus,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@529,Citrus Brandy Capsule,BinnieCore:containerRefractory
binnie.brandycitrus,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@529,Citrus Brandy Can,BinnieCore:containerCan
binnie.brandyelderberry,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@528,Elderberry Brandy Capsule,BinnieCore:containerCapsule
binnie.brandyelderberry,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@528,Elderberry Brandy Cylinder,BinnieCore:containerCylinder
binnie.brandyelderberry,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@528,Elderberry Brandy Bottle,BinnieCore:containerGlass
binnie.brandyelderberry,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@528,Elderberry Brandy Bucket,BinnieCore:containerBucket
binnie.brandyelderberry,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@528,Elderberry Brandy Capsule,BinnieCore:containerRefractory
binnie.brandyelderberry,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@528,Elderberry Brandy Can,BinnieCore:containerCan
binnie.brandyfruit,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@530,Fruit Brandy Capsule,BinnieCore:containerCapsule
binnie.brandyfruit,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@530,Fruit Brandy Cylinder,BinnieCore:containerCylinder
binnie.brandyfruit,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@530,Fruit Brandy Bottle,BinnieCore:containerGlass
binnie.brandyfruit,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@530,Fruit Brandy Bucket,BinnieCore:containerBucket
binnie.brandyfruit,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@530,Fruit Brandy Capsule,BinnieCore:containerRefractory
binnie.brandyfruit,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@530,Fruit Brandy Can,BinnieCore:containerCan
binnie.brandygrape,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@522,Brandy Capsule,BinnieCore:containerCapsule
binnie.brandygrape,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@522,Brandy Cylinder,BinnieCore:containerCylinder
binnie.brandygrape,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@522,Brandy Bottle,BinnieCore:containerGlass
binnie.brandygrape,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@522,Brandy Bucket,BinnieCore:containerBucket
binnie.brandygrape,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@522,Brandy Capsule,BinnieCore:containerRefractory
binnie.brandygrape,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@522,Brandy Can,BinnieCore:containerCan
binnie.brandypear,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@524,Pear Brandy Capsule,BinnieCore:containerCapsule
binnie.brandypear,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@524,Pear Brandy Cylinder,BinnieCore:containerCylinder
binnie.brandypear,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@524,Pear Brandy Bottle,BinnieCore:containerGlass
binnie.brandypear,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@524,Pear Brandy Bucket,BinnieCore:containerBucket
binnie.brandypear,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@524,Pear Brandy Capsule,BinnieCore:containerRefractory
binnie.brandypear,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@524,Pear Brandy Can,BinnieCore:containerCan
binnie.brandyplum,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@526,Plum Brandy Capsule,BinnieCore:containerCapsule
binnie.brandyplum,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@526,Plum Brandy Cylinder,BinnieCore:containerCylinder
binnie.brandyplum,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@526,Plum Brandy Bottle,BinnieCore:containerGlass
binnie.brandyplum,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@526,Plum Brandy Bucket,BinnieCore:containerBucket
binnie.brandyplum,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@526,Plum Brandy Capsule,BinnieCore:containerRefractory
binnie.brandyplum,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@526,Plum Brandy Can,BinnieCore:containerCan
binnie.ciderapple,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@384,Cider Capsule,BinnieCore:containerCapsule
binnie.ciderapple,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@384,Cider Cylinder,BinnieCore:containerCylinder
binnie.ciderapple,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@384,Cider Bucket,BinnieCore:containerBucket
binnie.ciderapple,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@384,Cider Bottle,BinnieCore:containerGlass
binnie.ciderapple,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@384,Cider Capsule,BinnieCore:containerRefractory
binnie.ciderapple,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@384,Cider Can,BinnieCore:containerCan
binnie.ciderpeach,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@389,Peach Cider Capsule,BinnieCore:containerCapsule
binnie.ciderpeach,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@389,Peach Cider Cylinder,BinnieCore:containerCylinder
binnie.ciderpeach,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@389,Peach Cider Bucket,BinnieCore:containerBucket
binnie.ciderpeach,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@389,Peach Cider Bottle,BinnieCore:containerGlass
binnie.ciderpeach,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@389,Peach Cider Capsule,BinnieCore:containerRefractory
binnie.ciderpeach,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@389,Peach Cider Can,BinnieCore:containerCan
binnie.ciderpear,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@390,Pear Cider Capsule,BinnieCore:containerCapsule
binnie.ciderpear,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@390,Pear Cider Cylinder,BinnieCore:containerCylinder
binnie.ciderpear,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@390,Pear Cider Bucket,BinnieCore:containerBucket
binnie.ciderpear,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@390,Pear Cider Bottle,BinnieCore:containerGlass
binnie.ciderpear,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@390,Pear Cider Capsule,BinnieCore:containerRefractory
binnie.ciderpear,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@390,Pear Cider Can,BinnieCore:containerCan
binnie.dna.raw,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@771,Raw DNA Cylinder,BinnieCore:containerCylinder
binnie.fermentedpotatoes,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@397,Fermented Potatoes Capsule,BinnieCore:containerCapsule
binnie.fermentedpotatoes,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@397,Fermented Potatoes Cylinder,BinnieCore:containerCylinder
binnie.fermentedpotatoes,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@397,Fermented Potatoes Bucket,BinnieCore:containerBucket
binnie.fermentedpotatoes,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@397,Fermented Potatoes Bottle,BinnieCore:containerGlass
binnie.fermentedpotatoes,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@397,Fermented Potatoes Capsule,BinnieCore:containerRefractory
binnie.fermentedpotatoes,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@397,Fermented Potatoes Can,BinnieCore:containerCan
binnie.growthmedium,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@768,Growth Medium Capsule,BinnieCore:containerCapsule
binnie.growthmedium,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@768,Growth Medium Bottle,BinnieCore:containerGlass
binnie.growthmedium,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@768,Growth Medium Cylinder,BinnieCore:containerCylinder
binnie.growthmedium,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@768,Growth Medium Can,BinnieCore:containerCan
binnie.growthmedium,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@768,Growth Medium Bucket,BinnieCore:containerBucket
binnie.growthmedium,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@768,Growth Medium Capsule,BinnieCore:containerRefractory
binnie.juice,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@402,Fruit Wine Capsule,BinnieCore:containerCapsule
binnie.juice,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@402,Fruit Wine Cylinder,BinnieCore:containerCylinder
binnie.juice,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@402,Fruit Wine Bucket,BinnieCore:containerBucket
binnie.juice,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@402,Fruit Wine Bottle,BinnieCore:containerGlass
binnie.juice,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@402,Fruit Wine Capsule,BinnieCore:containerRefractory
binnie.juice,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@402,Fruit Wine Can,BinnieCore:containerCan
binnie.juiceapple,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@256,Apple Juice Capsule,BinnieCore:containerCapsule
binnie.juiceapple,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@256,Apple Juice Cylinder,BinnieCore:containerCylinder
binnie.juiceapple,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.containerBucket@256,Apple Juice Bucket,BinnieCore:containerBucket
binnie.juiceapple,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.containerGlass@256,Apple Juice Bottle,BinnieCore:containerGlass
binnie.juiceapple,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.containerRefractory@256,Apple Juice Capsule,BinnieCore:containerRefractory
binnie.juiceapple,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.containerCan@256,Apple Juice Can,BinnieCore:containerCan
binnie.juiceapricot,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.containerCapsule@257,Apricot Juice Capsule,BinnieCore:containerCapsule
binnie.juiceapricot,1000,1xitem.misc@8,Glass Cylinder,Genetics:misc,1xitem.containerCylinder@257,Apricot Juice Cylinder,BinnieCore:containerCylinder
