ID,Unlocalised name,Type,Min Level,Max Level,Class
41,enchantment.molecule.sulfuricAcid.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
42,enchantment.molecule.asprin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
43,enchantment.xpboost,breakable,1,3,tterrag.core.common.enchant.EnchantXPBoost
44,enchantment.molecule.mycotoxin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
45,enchantment.molecule.nodularin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
46,enchantment.molecule.tetrodotoxin.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
47,enchantment.molecule.thc.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
48,enchantment.arrowDamage,bow,1,5,net.minecraft.enchantment.EnchantmentArrowDamage
49,enchantment.arrowKnockback,bow,1,2,net.minecraft.enchantment.EnchantmentArrowKnockback
50,enchantment.arrowFire,bow,1,1,net.minecraft.enchantment.EnchantmentArrowFire
51,enchantment.arrowInfinite,bow,1,1,net.minecraft.enchantment.EnchantmentArrowInfinite
52,enchantment.molecule.buli.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
53,enchantment.molecule.phosgene.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
54,enchantment.molecule.aalc.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
55,enchantment.molecule.hist.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
56,enchantment.molecule.pal2.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
57,enchantment.molecule.retinol.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
58,enchantment.molecule.xylitol.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
59,enchantment.molecule.xanax.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
60,enchantment.molecule.cocaine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
61,enchantment.lootBonusFishing,fishing_rod,1,3,net.minecraft.enchantment.EnchantmentLootBonus
62,enchantment.fishingSpeed,fishing_rod,1,3,net.minecraft.enchantment.EnchantmentFishingSpeed
63,enchantment.molecule.cocainehcl.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
64,enchantment.molecule.metblue.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
65,enchantment.molecule.meoh.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
66,enchantment.cluster,digger,1,4,fox.spiteful.forbidden.enchantments.EnchantmentCluster
67,enchantment.wrath,weapon,1,5,fox.spiteful.forbidden.enchantments.EnchantmentWrath
68,enchantment.greedy,weapon,1,1,fox.spiteful.forbidden.enchantments.EnchantmentGreedy
69,enchantment.consuming,digger,1,1,fox.spiteful.forbidden.enchantments.EnchantmentConsuming
70,enchantment.educational,weapon,1,5,fox.spiteful.forbidden.enchantments.EnchantmentEducational
71,enchantment.corrupting,digger,1,1,fox.spiteful.forbidden.enchantments.EnchantmentCorrupting
72,enchantment.voidtouched,digger,1,1,fox.spiteful.forbidden.enchantments.EnchantmentVoid
73,enchantment.impact,digger,1,1,fox.spiteful.forbidden.enchantments.EnchantmentImpact
74,enchantment.molecule.radchlor.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
75,enchantment.molecule.caulerpenyne.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
76,enchantment.molecule.latropine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
77,enchantment.molecule.cysteine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
78,enchantment.molecule.threonine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
79,enchantment.molecule.methionine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
80,enchantment.molecule.tyrosine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
81,enchantment.molecule.histidine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
82,enchantment.molecule.phenylalanine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
83,enchantment.molecule.proline.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
84,enchantment.molecule.leucine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
85,enchantment.molecule.isoleucine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
86,enchantment.molecule.asparagine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
87,enchantment.molecule.dimethyltryptamine.coated,weapon,1,10,minechem.potion.PotionEnchantmentCoated
90,enchantment.paleontology,digger,1,3,mods.fossil.enchantments.EnchantmentPaleontology
91,enchantment.archeology,digger,1,3,mods.fossil.enchantments.EnchantmentArcheology
97,enchantment.soul_stealer,weapon,1,5,moze_intel.ssr.gameObjs.SoulStealerEnchant
100,enchantment.magicresist,armor,1,5,am2.enchantments.EnchantMagicResist
101,enchantment.soulbound,all,1,1,am2.enchantments.EnchantmentSoulbound
102,enchant.cofh.holding,all,1,4,cofh.core.enchantment.EnchantmentHolding
125,enchantment.bash.weightless,all,1,3,mods.battlegear2.enchantments.BaseEnchantment
126,enchantment.bash.power,all,1,5,mods.battlegear2.enchantments.BaseEnchantment
127,enchantment.bash.damage,all,1,3,mods.battlegear2.enchantments.BaseEnchantment
128,enchantment.shield.usage,all,1,5,mods.battlegear2.enchantments.BaseEnchantment
129,enchantment.shield.recover,all,1,4,mods.battlegear2.enchantments.BaseEnchantment
130,enchantment.bow.loot,bow,1,1,mods.battlegear2.enchantments.BaseEnchantment
131,enchantment.bow.charge,bow,1,1,mods.battlegear2.enchantments.BaseEnchantment
136,enchantment.tfFireReact,armor,1,1,twilightforest.enchantment.EnchantmentTFFireReact
137,enchantment.tfChillAura,armor,1,1,twilightforest.enchantment.EnchantmentTFChillAura
153,enchantment.haste,armor,1,3,thaumcraft.common.lib.enchantment.EnchantmentHaste
154,enchantment.repair,all,1,2,thaumcraft.common.lib.enchantment.EnchantmentRepair
157,enchantment.Magnetization,all,1,4,net.meteor.common.enchantment.EnchantmentMagnetized
158,enchantment.Cold Touch,armor,1,2,net.meteor.common.enchantment.EnchantmentColdTouch
166,enchantment.ttinkerer:dispersedStrike,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentDispersedStrikes
167,enchantment.ttinkerer:shatter,digger,1,5,thaumic.tinkerer.common.enchantment.EnchantmentShatter
168,enchantment.ttinkerer:finalStrike,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentFinalStrike
169,enchantment.ttinkerer:focusedStrike,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentFocusedStrikes
170,enchantment.ttinkerer:pounce,armor_legs,1,5,thaumic.tinkerer.common.enchantment.EnchantmentPounce
171,enchantment.ttinkerer:shockwave,armor_feet,1,5,thaumic.tinkerer.common.enchantment.EnchantmentShockwave
172,enchantment.ttinkerer:tunnel,digger,1,5,thaumic.tinkerer.common.enchantment.EnchantmentTunnel
173,enchantment.ttinkerer:valiance,weapon,1,5,thaumic.tinkerer.common.enchantment.EnchantmentValiance
188,Reading,armor_head,1,1,jds.bibliocraft.EnchantmentReading
197,Eternal Compass,all,1,1,jds.bibliocraft.EnchantmentDeathCompass
211,enchantment.openblocks.explosive,armor,1,3,openblocks.enchantments.EnchantmentExplosive
212,enchantment.openblocks.laststand,armor,1,2,openblocks.enchantments.EnchantmentLastStand
213,enchantment.openblocks.flimflam,all,1,4,openblocks.enchantments.EnchantmentFlimFlam
220,enchantment.ttinkerer:ascentBoost,armor_legs,1,4,thaumic.tinkerer.common.enchantment.EnchantmentAscentBoost
221,enchantment.ttinkerer:slowFall,armor_feet,1,3,thaumic.tinkerer.common.enchantment.EnchantmentSlowFall
222,enchantment.ttinkerer:autoSmelt,digger,1,1,thaumic.tinkerer.common.enchantment.EnchantmentAutoSmelt
223,enchantment.ttinkerer:desintegrate,digger,1,1,thaumic.tinkerer.common.enchantment.EnchantmentDesintegrate
224,enchantment.ttinkerer:quickDraw,bow,1,2,thaumic.tinkerer.common.enchantment.EnchantmentQuickDraw
225,enchantment.ttinkerer:vampirism,weapon,1,2,thaumic.tinkerer.common.enchantment.EnchantmentVampirism
